,Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,luderitz,na,-26.6481,15.1594,49.44,92.0,0.0,14.45
1,shimoda,jp,34.701,138.9287,68.58,100.0,100.0,2.93
2,new norfolk,au,-42.7802,147.0615,48.42,92.0,64.0,9.64
3,ilulissat,gl,69.2167,-51.1,36.18,92.0,92.0,9.19
5,maldonado,uy,-34.9088,-54.9583,48.7,89.0,68.0,19.15
6,pevek,ru,69.7028,170.2747,45.57,67.0,8.0,8.75
7,rikitea,pf,-23.1203,-134.9692,76.62,100.0,80.0,13.44
8,severo-kurilsk,ru,50.6789,156.125,45.66,92.0,92.0,13.44
9,busselton,au,-33.6445,115.3489,54.66,100.0,12.0,9.53
10,riberalta,bo,-10.9974,-66.0752,78.58,61.0,8.0,3.15
12,kodiak,us,39.9519,-94.7572,81.68,82.0,0.0,4.94
13,longyearbyen,sj,78.2186,15.6401,48.06,90.0,48.0,3.15
14,kattivakkam,in,13.2167,80.3167,85.51,100.0,64.0,9.75
15,butaritari,ki,3.0707,172.7902,84.27,100.0,68.0,4.05
16,yafran,ly,32.0638,12.5277,60.87,61.0,0.0,3.15
18,hobart,au,-42.8826,147.3281,48.42,76.0,88.0,9.31
19,ushuaia,ar,-54.807,-68.3074,25.7,100.0,80.0,2.71
21,san cristobal,ec,-1.0243,-79.4413,62.04,97.0,64.0,2.15
23,port alfred,za,-33.5906,26.891,63.39,91.0,0.0,21.05
26,bredasdorp,za,-34.5331,20.0428,59.09,85.0,76.0,21.5
27,faanui,pf,-16.4834,-151.75,80.85,100.0,0.0,14.0
28,sajanan,tn,37.0573,9.2426,69.67,100.0,92.0,7.96
29,kapaa,us,22.0752,-159.319,84.4,80.0,20.0,11.99
32,sawakin,sd,19.1031,37.3312,88.9,54.0,68.0,5.84
34,atuona,pf,-9.8,-139.0334,80.49,100.0,0.0,18.03
35,krutikha,ru,53.9599,81.2093,61.95,91.0,64.0,2.59
36,yenagoa,ng,4.9247,6.2642,72.75,93.0,64.0,4.16
39,carnarvon,au,-24.8667,113.6333,57.27,100.0,0.0,18.7
40,leh,in,34.1642,77.5848,29.37,97.0,92.0,1.59
41,punta arenas,cl,-53.1627,-70.9081,35.01,100.0,88.0,10.65
42,hilo,us,19.7072,-155.0817,81.36,100.0,68.0,15.68
44,port lincoln,au,-34.7212,135.8592,56.55,100.0,44.0,12.21
45,saint-philippe,re,-21.3586,55.7679,68.72,100.0,88.0,12.1
47,los llanos de aridane,es,28.6585,-17.9183,68.14,100.0,0.0,6.62
48,yellowknife,ca,62.4541,-114.3774,67.01,63.0,36.0,12.21
49,puerto ayora,ec,-0.7394,-90.3518,76.82,94.0,0.0,12.88
56,te anau,nz,-45.4145,167.7175,37.92,95.0,64.0,9.08
57,mar del plata,ar,-46.4276,-67.5191,35.49,78.0,12.0,13.67
58,road town,vg,18.4167,-64.6167,80.02,100.0,88.0,17.81
59,sabzevar,ir,36.2134,57.6809,69.33,35.0,8.0,3.71
64,arraial do cabo,br,-22.9663,-42.0245,70.75,81.0,0.0,17.92
68,nome,us,30.0358,-94.4244,87.6,70.0,0.0,11.43
69,albany,au,-35.0248,117.8836,42.06,92.0,48.0,2.93
70,hinton,ca,53.4047,-117.5703,69.78,38.0,92.0,3.15
72,khakhea,bw,-24.6942,23.5039,43.14,72.0,0.0,2.93
74,hermanus,za,-34.4176,19.2361,54.39,85.0,56.0,6.62
76,fairbanks,us,64.8378,-147.7167,68.04,57.0,44.0,7.29
78,ust-omchug,ru,61.1332,149.6325,69.87,33.0,48.0,3.38
79,deputatskiy,ru,69.3,139.9,68.25,26.0,0.0,5.61
80,manali,in,32.2455,77.1873,29.01,97.0,76.0,0.92
81,ngunguru,nz,-35.6167,174.5,58.71,100.0,0.0,17.25
84,saint george,bm,32.3817,-64.6781,80.1,94.0,44.0,15.79
85,fortuna,us,40.5974,-124.1561,70.93,76.0,0.0,9.98
87,charagua,bo,-19.7918,-63.2005,69.06,67.0,80.0,9.19
88,stornoway,gb,58.2093,-6.3865,51.04,90.0,92.0,14.23
89,hoyanger,no,61.2204,6.0749,49.95,100.0,92.0,1.92
90,cape town,za,-33.929,18.4174,55.98,98.0,88.0,13.44
91,mayo,ca,63.5927,-135.8962,67.44,52.0,24.0,3.49
92,lagoa,pt,37.1363,-8.4541,63.14,84.0,0.0,2.82
93,barrow,us,39.5062,-90.4016,74.61,81.0,44.0,3.71
94,iskateley,ru,67.6803,53.1512,54.39,84.0,12.0,2.48
95,muros,es,42.7744,-9.0576,71.06,89.0,8.0,3.94
98,mayumba,ga,-3.4391,10.6473,72.75,99.0,100.0,5.61
100,san pedro,ar,-33.6759,-59.6629,49.26,62.0,0.0,15.46
103,arlit,ne,18.7391,7.3933,80.4,52.0,32.0,3.6
106,biak,id,-0.9132,122.8766,76.44,100.0,36.0,4.16
107,haines junction,ca,60.7527,-137.5101,56.55,41.0,32.0,2.82
108,tuktoyaktuk,ca,69.444,-133.032,35.92,94.0,92.0,13.56
109,kenai,us,60.5544,-151.2584,56.26,67.0,24.0,6.85
111,narsaq,gl,60.9127,-46.0453,42.04,92.0,88.0,2.82
113,east london,za,-33.0153,27.9116,65.46,100.0,0.0,24.85
114,lebu,cl,-37.6167,-73.6501,49.08,100.0,0.0,22.62
116,khatanga,ru,71.9801,102.4743,51.6,88.0,80.0,12.66
117,ribeira grande,pt,38.5167,-28.7001,70.23,100.0,80.0,2.37
118,pingshan,cn,28.8336,104.351,73.65,100.0,100.0,4.16
119,qaanaaq,gl,77.484,-69.3633,32.61,95.0,44.0,3.04
120,mandapeta,in,16.8667,81.9333,78.96,92.0,48.0,8.41
121,santa cruz,us,36.9742,-122.0298,85.12,50.0,0.0,4.16
124,betong,th,5.7743,101.0723,71.04,98.0,12.0,3.27
127,ilinskiy,ru,55.619,38.1182,71.62,42.0,36.0,13.89
128,flinders,au,-34.581,150.846,46.09,93.0,0.0,4.16
129,vaini,to,-21.2001,-175.2,75.7,100.0,12.0,7.18
131,byron bay,au,-28.65,153.6167,59.27,100.0,0.0,7.74
136,sumbawanga,tz,-7.9524,31.6232,67.08,81.0,68.0,11.43
138,chuy,uy,-33.6938,-53.4562,51.24,88.0,68.0,17.36
141,saskylakh,ru,71.965,114.0939,68.7,100.0,24.0,4.72
142,dikson,ru,73.5069,80.5464,32.16,99.0,88.0,13.0
143,lorengau,pg,-2.0226,147.2712,82.65,100.0,64.0,4.05
144,upernavik,gl,72.7868,-56.1549,30.81,100.0,76.0,6.29
145,geraldton,au,-28.7667,114.6,45.63,100.0,0.0,15.35
147,ghanzi,bw,-21.699,21.6452,43.32,68.0,0.0,3.38
150,hithadhoo,mv,-0.6,73.0833,81.75,100.0,20.0,3.71
152,wau,pg,-7.3389,146.7163,69.87,100.0,92.0,1.92
154,praia da vitoria,pt,38.7333,-27.0667,69.22,100.0,36.0,7.07
155,urdoma,ru,61.7445,48.5491,59.97,100.0,8.0,2.37
157,sibolga,id,1.737,98.7846,67.35,100.0,88.0,1.92
158,hay river,ca,60.8156,-115.7867,75.72,63.0,36.0,3.94
160,victoria,sc,-4.6167,55.45,77.95,100.0,32.0,15.68
161,haverfordwest,gb,51.8023,-4.9652,52.34,97.0,36.0,6.4
164,iqaluit,ca,63.7494,-68.5219,42.13,94.0,80.0,5.73
165,namibe,ao,-15.1902,12.1531,69.69,100.0,0.0,5.95
169,thinadhoo,mv,0.5333,72.9333,82.74,100.0,8.0,4.94
171,zhezkazgan,kz,47.8043,67.7144,63.75,50.0,8.0,9.64
172,barhi,in,24.3051,85.4203,79.48,70.0,32.0,4.16
177,miri,my,4.4148,114.0089,69.8,100.0,92.0,4.38
178,hargeysa,so,9.56,44.065,73.02,39.0,92.0,3.71
181,lazaro cardenas,mx,28.3905,-105.6235,99.91,14.0,0.0,4.61
184,hami,cn,42.8354,93.5128,71.49,42.0,0.0,9.75
186,vostok,ru,46.448,135.8294,50.97,80.0,92.0,3.15
187,sovetskiy,ru,56.763,48.4743,68.43,72.0,36.0,2.93
188,tuatapere,nz,-46.1324,167.6908,43.95,100.0,44.0,19.37
189,provideniya,ru,64.4238,-173.2276,40.44,100.0,88.0,13.0
190,avarua,ck,-21.2078,-159.775,82.85,100.0,56.0,2.93
191,bethel,us,60.7922,-161.7559,58.46,65.0,48.0,3.6
194,nosy varika,mg,-20.5834,48.5333,68.52,100.0,100.0,1.7
196,halifax,ca,44.6491,-63.5752,58.35,91.0,68.0,4.38
199,bundaberg,au,-24.8654,152.3517,64.2,100.0,20.0,13.78
200,bonthe,sl,7.5273,-12.502,73.38,100.0,92.0,5.73
201,bilma,ne,18.6929,12.9187,85.35,32.0,68.0,1.7
204,gushikawa,jp,26.3544,127.8686,83.01,91.0,44.0,14.45
205,imbituba,br,-28.24,-48.6703,66.9,79.0,32.0,11.54
206,coos bay,us,43.3665,-124.2179,66.02,63.0,0.0,8.97
210,port hardy,ca,50.6996,-127.4199,64.63,78.0,0.0,2.71
214,nemuro,jp,43.3236,145.575,55.65,88.0,80.0,18.48
217,sitka,us,37.175,-99.6516,83.73,61.0,0.0,12.77
219,chitrakonda,in,18.1167,82.0833,70.95,98.0,100.0,2.48
220,zonguldak,tr,41.25,31.8333,64.92,100.0,92.0,3.6
221,jamestown,sh,-15.9388,-5.7168,71.22,100.0,0.0,20.83
223,chaohu,cn,31.6275,117.8842,74.3,91.0,92.0,7.18
224,talnakh,ru,69.494,88.3908,59.07,69.0,0.0,4.61
225,arvika,se,59.6544,12.5916,51.66,75.0,0.0,5.06
227,constitucion,mx,23.9912,-104.675,64.92,91.0,36.0,7.63
232,otradnoye,ru,59.7727,30.802,52.36,73.0,92.0,1.92
235,magadan,ru,59.5605,150.7989,60.71,77.0,0.0,3.38
236,changji,cn,32.0671,116.1675,75.99,90.0,76.0,5.39
237,noumea,nc,-22.2764,166.4572,67.5,93.0,68.0,6.96
239,muswellbrook,au,-32.2653,150.8887,46.2,80.0,0.0,3.6
247,myitkyina,mm,25.3833,97.4,72.84,100.0,92.0,2.59
248,huanren,cn,41.2647,125.3667,73.47,85.0,0.0,2.93
251,ketchikan,us,55.3422,-131.6462,57.07,83.0,76.0,6.17
253,tiksi,ru,71.6366,128.8685,74.28,51.0,8.0,4.27
256,zapolyarnyy,ru,69.4262,30.8199,49.46,96.0,92.0,5.61
257,tautira,pf,-17.7334,-149.15,81.41,100.0,36.0,10.42
259,bluff,nz,-46.6,168.3333,47.55,100.0,48.0,27.54
262,port-gentil,ga,-0.7194,8.7815,76.01,100.0,64.0,7.74
266,casambalangan,ph,18.3765,122.1274,82.92,100.0,76.0,6.73
268,mazyr,by,52.0476,29.2666,51.24,100.0,92.0,14.67
270,palazzolo acreide,it,37.0619,14.9039,65.35,84.0,12.0,2.59
272,bandarbeyla,so,9.4942,50.8122,77.52,79.0,36.0,31.12
275,labytnangi,ru,66.6596,66.3862,55.29,71.0,0.0,14.0
276,banda aceh,id,5.5577,95.3222,75.54,97.0,76.0,2.48
277,atambua,id,-9.1066,124.892,77.07,97.0,0.0,13.56
280,zima,ru,53.9284,102.0527,65.01,73.0,12.0,3.6
282,birao,cf,10.2962,22.781,71.04,96.0,68.0,3.38
283,pacific grove,us,36.6174,-121.9156,72.57,75.0,0.0,4.94
284,daru,pg,-9.07,143.21,79.59,88.0,44.0,20.27
287,chokurdakh,ru,70.6192,147.9022,47.73,85.0,0.0,8.75
289,katsuura,jp,33.9258,134.505,70.34,90.0,24.0,3.94
291,sao francisco,br,-25.6523,-53.85,64.85,71.0,0.0,3.6
292,kingman,us,35.1894,-114.0531,102.42,18.0,0.0,11.99
295,montepuez,mz,-13.1254,39.0017,61.5,95.0,0.0,7.63
299,cabedelo,br,-6.9733,-34.8352,74.19,92.0,100.0,15.35
300,general pico,ar,-35.6636,-63.7543,36.66,31.0,0.0,9.31
301,mwandiga,tz,-4.8362,29.6604,72.3,100.0,0.0,8.08
309,norfolk,us,36.8463,-76.293,82.36,97.0,8.0,6.62
310,kavieng,pg,-2.5745,150.7967,83.28,100.0,56.0,2.37
311,dawlatabad,af,36.4141,64.9053,68.07,62.0,56.0,3.15
316,cidreira,br,-30.1658,-50.2184,69.33,66.0,80.0,8.41
317,tasiilaq,gl,65.6145,-37.6368,38.37,95.0,92.0,4.94
318,necochea,ar,-38.5473,-58.7368,43.59,95.0,92.0,20.6
320,coihaique,cl,-45.5753,-72.0662,35.06,65.0,36.0,7.74
321,port elizabeth,za,-33.918,25.5701,65.19,97.0,12.0,34.36
322,ahipara,nz,-35.1665,173.1562,58.62,86.0,20.0,15.12
323,bhandara,in,21.165,79.6533,78.53,83.0,20.0,8.97
325,benjamin constant,br,-4.3814,-70.033,73.17,82.0,36.0,4.16
334,georgetown,sh,-7.9334,-14.4167,77.43,100.0,76.0,21.27
337,port macquarie,au,-31.43,152.9104,54.3,94.0,0.0,7.18
338,quatre cocos,mu,-20.2078,57.7625,70.38,82.0,0.0,9.64
339,pavilosta,lv,56.8879,21.1859,48.83,96.0,0.0,11.21
341,taltal,cl,-25.408,-70.4859,51.51,95.0,44.0,1.03
347,grindavik,is,63.8424,-22.4338,47.37,100.0,92.0,12.44
350,rumonge,bi,-3.9746,29.4393,68.07,100.0,0.0,4.94
352,creel,mx,27.753,-107.6344,68.07,65.0,32.0,2.93
353,clyde river,ca,70.4692,-68.5915,36.84,94.0,12.0,1.7
355,half moon bay,us,37.4636,-122.4286,84.04,74.0,0.0,8.3
359,aranos,na,-24.1389,19.1149,43.5,51.0,0.0,4.72
360,caravelas,br,-17.7297,-39.2661,74.73,100.0,56.0,11.77
362,itarema,br,-2.9248,-39.9167,79.86,72.0,0.0,14.79
363,hovd,mn,48.0056,91.6419,61.14,50.0,0.0,6.62
365,tucano,br,-10.9636,-38.786,70.95,67.0,0.0,10.65
367,yar-sale,ru,66.8333,70.8333,49.17,71.0,0.0,17.69
368,soubre,ci,5.7856,-6.6084,71.94,97.0,32.0,4.94
369,saldanha,za,-33.0117,17.9442,51.58,92.0,36.0,3.71
372,ponta do sol,cv,17.1994,-25.092,72.21,100.0,20.0,15.46
373,shieli,kz,44.176,66.741,68.52,36.0,44.0,5.28
375,ramshir,ir,30.894,49.4093,82.22,46.0,0.0,10.2
379,thompson,ca,55.7433,-97.8635,72.12,38.0,0.0,8.08
385,margate,za,-30.8636,30.3705,65.82,66.0,0.0,11.43
386,warrnambool,au,-38.3827,142.4814,53.22,98.0,80.0,7.52
387,tessalit,ml,20.2009,1.014,80.13,20.0,12.0,2.82
390,kaitangata,nz,-46.2818,169.8464,43.95,92.0,64.0,13.11
392,havoysund,no,70.9963,24.6622,42.62,100.0,92.0,17.47
395,kununurra,au,-15.7731,128.7388,69.94,26.0,0.0,11.43
396,hebi,cn,35.748,114.2916,78.6,64.0,36.0,5.17
398,iwaki,jp,37.0505,140.8878,68.04,81.0,68.0,2.82
400,hamilton,bm,32.2956,-64.7828,80.1,94.0,44.0,15.79
401,dingle,ie,52.1408,-10.2689,53.94,100.0,0.0,5.61
405,ola,ru,59.5781,151.2991,63.99,74.0,0.0,3.15
406,chishtian mandi,pk,29.8,72.8667,80.13,75.0,36.0,2.59
407,cherskiy,ru,68.75,161.3,57.27,51.0,92.0,2.82
409,sao filipe,cv,14.8961,-24.4956,73.29,100.0,8.0,12.1
410,kaspiysk,ru,42.8816,47.6392,59.54,76.0,0.0,2.26
411,sambava,mg,-14.2667,50.1667,73.74,100.0,92.0,18.81
412,roald,no,62.5838,6.1242,50.05,97.0,76.0,9.42
413,xai-xai,mz,-25.0445,33.6407,66.9,100.0,0.0,5.61
414,nizwa,om,22.9324,57.5311,76.62,29.0,20.0,3.83
415,bambanglipuro,id,-7.95,110.2833,73.65,97.0,88.0,6.06
416,werda,bw,-25.2702,23.277,41.79,72.0,0.0,2.82
421,corowa,au,-35.9996,146.3906,38.48,100.0,48.0,4.27
423,palmer,us,61.5996,-149.1111,57.09,72.0,80.0,2.82
427,padang,id,-0.9248,100.3633,82.92,100.0,80.0,4.38
428,coquimbo,cl,-29.9532,-71.3381,50.88,100.0,48.0,4.72
431,bubaque,gw,11.2833,-15.8334,79.56,100.0,56.0,11.43
436,mitchell,us,43.7095,-98.0254,78.75,65.0,32.0,9.19
437,pandan,ph,11.7199,122.0946,79.68,100.0,56.0,8.41
439,huilong,cn,31.1549,106.4976,80.67,84.0,92.0,4.27
441,souillac,mu,-20.5167,57.5167,70.38,82.0,0.0,9.64
442,kumphawapi,th,17.1093,103.0145,72.48,100.0,92.0,4.38
446,labuhan,id,-2.5409,115.5092,76.98,87.0,20.0,2.93
449,verkhovazhye,ru,60.7452,42.0473,59.79,59.0,48.0,5.61
456,tura,ru,64.2742,100.217,66.45,77.0,0.0,2.59
458,bria,cf,6.5429,21.9871,65.1,93.0,56.0,2.93
462,taksimo,ru,56.3555,114.838,54.39,97.0,92.0,2.93
464,hofn,is,64.2539,-15.2082,49.62,97.0,76.0,8.75
467,dicabisagan,ph,17.0818,122.4157,80.67,100.0,76.0,3.71
469,burnie,au,-41.0524,145.9064,53.04,100.0,44.0,19.82
470,acapulco,mx,16.8603,-99.8769,81.77,81.0,92.0,4.61
473,bud,no,62.9088,6.9145,50.02,100.0,92.0,13.0
474,shingu,jp,33.7241,135.993,71.4,100.0,80.0,2.26
475,touros,br,-5.1989,-35.4609,76.26,88.0,88.0,14.45
476,atar,mr,20.5183,-13.0544,81.75,29.0,0.0,6.62
479,kurumkan,ru,54.3263,110.3233,52.23,96.0,88.0,2.26
480,muslyumovo,ru,55.3059,53.1941,58.8,74.0,0.0,6.85
484,cottonwood,us,34.7392,-112.0099,87.06,18.0,0.0,10.42
485,esperance,au,-33.8583,121.8932,42.6,91.0,0.0,4.38
487,miles city,us,46.4085,-105.841,74.62,55.0,8.0,13.67
488,inyonga,tz,-6.7242,32.0566,64.65,57.0,76.0,4.83
490,wanning,cn,18.8003,110.3967,83.55,100.0,44.0,12.66
498,paragominas,br,-2.9957,-47.3549,77.97,80.0,48.0,6.51
499,san patricio,mx,19.223,-104.6989,86.36,54.0,8.0,6.4
505,cap malheureux,mu,-19.9842,57.6142,72.03,100.0,0.0,14.45
506,lethbridge,ca,49.6943,-112.8516,64.92,100.0,76.0,10.65
511,surt,ly,31.2089,16.5887,71.04,100.0,0.0,7.96
514,kpandu,gh,6.9964,0.2945,75.45,86.0,88.0,7.4
520,demmin,de,53.907,13.0328,56.57,72.0,80.0,10.87
521,inhambane,mz,-23.866,35.3844,64.92,100.0,0.0,6.4
522,farah,af,32.3741,62.1146,69.42,22.0,0.0,3.94
524,alta floresta,br,-9.8716,-56.084,77.9,44.0,0.0,3.71
531,ust-kuyga,ru,70.0018,135.5498,70.5,46.0,12.0,4.38
538,alvinopolis,br,-20.1067,-43.0489,58.17,89.0,0.0,3.71
539,klaksvik,fo,62.2266,-6.5891,49.6,96.0,100.0,21.94
540,kalulushi,zm,-12.8412,28.0948,53.94,65.0,0.0,7.07
541,bayan,kw,29.2975,48.0478,86.95,60.0,0.0,14.67
553,hare bay,ca,48.8649,-53.9932,62.8,58.0,44.0,20.49
557,voh,nc,-20.95,164.6872,71.49,100.0,0.0,14.0
558,flin flon,ca,54.7698,-101.879,70.36,71.0,8.0,7.4
559,tshikapa,cd,-6.4231,20.7888,68.34,93.0,20.0,2.15
562,mehamn,no,71.035,27.8517,44.13,93.0,92.0,15.12
564,rudnaya pristan,ru,44.3631,135.8198,59.88,56.0,24.0,5.61
565,rio grande,br,-32.0335,-52.0992,50.0,99.0,92.0,15.01
568,huron,us,44.3631,-98.2144,64.94,91.0,48.0,4.05
569,luanda,ao,-8.8272,13.2437,69.24,100.0,56.0,5.17
570,vista hermosa,co,8.3658,-73.287,75.27,68.0,24.0,2.93
573,songjianghe,cn,42.1782,127.481,68.97,83.0,8.0,3.38
576,dunedin,nz,-45.874,170.5035,46.83,78.0,24.0,7.74
577,norman wells,ca,65.2824,-126.8328,62.89,99.0,92.0,11.1
579,cabot,us,34.9745,-92.0166,88.7,88.0,36.0,5.39
582,khorixas,na,-20.3739,14.9604,47.64,68.0,0.0,2.71
586,sarangani,ph,5.4033,125.4636,82.74,100.0,12.0,5.28
587,sabha,jo,32.3297,36.501,63.7,73.0,0.0,7.85
594,jalu,ly,29.0331,21.5482,81.66,37.0,0.0,5.95
595,cabo san lucas,mx,22.8938,-109.9112,76.75,100.0,0.0,9.53
596,barao de melgaco,br,-16.1945,-55.9675,72.0,68.0,12.0,2.48
597,lisakovsk,kz,52.5459,62.4892,64.56,56.0,0.0,9.64
598,guerrero negro,mx,27.971,-114.0364,76.89,56.0,0.0,8.63
600,davila,ph,18.4726,120.5763,78.91,100.0,12.0,4.94
601,boromo,bf,11.7448,-2.9301,76.35,86.0,76.0,7.85
602,the valley,ai,18.217,-63.0579,81.12,95.0,64.0,20.27
606,pitimbu,br,-7.4729,-34.8113,74.19,92.0,100.0,15.35
608,chabahar,ir,25.2933,60.6471,86.7,100.0,12.0,10.65
609,christchurch,nz,-43.531,172.6366,47.1,82.0,44.0,15.23
610,sechura,pe,-5.5576,-80.8224,69.87,81.0,0.0,11.54
611,paamiut,gl,61.994,-49.6678,38.1,100.0,68.0,5.17
613,scarborough,tt,11.1833,-60.7334,82.35,100.0,92.0,21.5
614,namatanai,pg,-3.6642,152.4407,82.29,100.0,64.0,5.73
617,abha,sa,18.2164,42.5044,63.7,29.0,0.0,2.59
619,harper,lr,4.377,-7.7141,79.14,100.0,68.0,8.63
620,kargat,ru,55.193,80.2828,61.5,74.0,8.0,2.93
621,villa literno,it,41.0099,14.0805,69.19,96.0,0.0,20.27
623,hervey bay,au,-25.2986,152.8535,63.48,100.0,56.0,9.19
624,meulaboh,id,4.1363,96.1285,78.15,100.0,56.0,4.27
627,mahebourg,mu,-20.4081,57.7,69.8,82.0,0.0,9.64
628,bam,ir,29.106,58.3566,68.52,34.0,0.0,3.94
629,tlalnepantla,mx,19.537,-99.1956,61.2,100.0,80.0,3.04
634,roma,au,-26.5674,148.7875,56.82,73.0,8.0,4.61
637,nybro,se,56.7452,15.9062,51.35,79.0,12.0,2.15
646,maragogi,br,-9.0119,-35.2226,75.45,86.0,92.0,11.54
648,la plata,ar,-34.9207,-57.9538,44.28,75.0,0.0,19.04
649,octeville,fr,49.6255,-1.6449,54.93,96.0,20.0,6.4
650,susanville,us,40.4163,-120.6531,86.63,14.0,0.0,2.93
656,sidrolandia,br,-20.932,-54.9614,65.08,72.0,0.0,4.94
658,yarada,in,17.65,83.2667,80.94,100.0,80.0,17.36
663,marsa matruh,eg,31.3525,27.2453,71.15,89.0,0.0,5.5
664,mpulungu,zm,-8.7662,31.1196,68.25,44.0,92.0,9.19
667,bambous virieux,mu,-20.3428,57.7575,70.38,82.0,0.0,9.64
670,riorges,fr,46.0407,4.033,53.46,55.0,0.0,7.18
673,rawlins,us,41.7911,-107.2387,60.35,30.0,100.0,17.58
679,kouango,cf,4.9941,19.9767,70.14,98.0,44.0,2.71
683,tommot,ru,58.9685,126.2669,62.85,81.0,36.0,3.38
687,ancud,cl,-41.8682,-73.8288,32.25,86.0,0.0,2.37
688,amazar,ru,53.8602,120.8781,64.47,66.0,44.0,4.38
689,qaqortoq,gl,60.7167,-46.0334,43.81,100.0,80.0,4.61
692,fare,pf,-16.7001,-151.0167,80.58,99.0,0.0,12.55
694,castro,cl,-42.4824,-73.7644,32.07,100.0,8.0,1.36
696,antalaha,mg,-14.902,50.2794,69.96,98.0,80.0,10.98
702,pisco,pe,-13.71,-76.203,59.32,94.0,0.0,4.38
703,kon tum,vn,14.3615,108.0039,69.87,96.0,88.0,3.38
705,junin,ar,-34.5839,-60.9434,39.72,62.0,0.0,14.34
706,kloulklubed,pw,7.0419,134.2556,80.04,100.0,0.0,3.83
715,khash,ir,28.2204,61.2137,66.9,24.0,0.0,3.27
719,vanimo,pg,-2.6741,141.3028,79.77,100.0,80.0,7.96
723,torbay,ca,47.6577,-52.727,56.73,60.0,48.0,18.48
724,salalah,om,17.0149,54.0957,79.75,100.0,92.0,5.95
726,honiara,sb,-9.4313,159.9553,79.2,90.0,76.0,3.83
731,greytown,za,-29.0606,30.5889,38.1,47.0,0.0,2.71
732,saurimo,ao,-9.659,20.3981,58.26,45.0,0.0,5.73
735,alice springs,au,-23.6984,133.8813,47.75,54.0,0.0,4.72
746,nikolskoye,ru,59.7035,30.7861,52.36,73.0,92.0,1.92
750,grand gaube,mu,-20.0064,57.6608,72.7,100.0,0.0,14.45
751,san joaquin,bo,-16.3829,-58.3948,74.19,64.0,0.0,8.52
752,carbonear,ca,47.7331,-53.2367,56.7,72.0,48.0,23.06
